Category,Name,Net weight,Price
"Beverage","Jele Beautie Drink Lychee | 150ml","150",31.5
"Beverage","Jele Beautie Drink Mixed Fruit | 150ml","150",31.5
"Beverage","Johnnie Walker Black Scotch Whiskey | 1L With 50ml 2pcs","1",1369
"Beverage","Ichitan Thai Milk Tea | 310ml","310",45
"Beverage","Ichitan Thai Milk Coffee | 310ml","310",45
"Beverage","Heineken Beer Silver Bottle | 330ml","330",76.5
"Beverage","Heineken Beer Silver Can | 330ml","330",76.5
"Beverage","H&Y Jellybee Choco M | 24pcs (76.80g)","24",30
"Beverage","GSM Blue Mojito Flavored Spirit | 1L","1",189
"Beverage","Good Day Coffee Grande White | 30pcs 25g","30",208.5
"Beverage","Good Day Coffee Grande White | 10pcs 25g","10",69.5
"Beverage","Gaya Farm Sweet White Peach | 1.5L","1.5",199.5
"Beverage","Gaya Farm Pulpy Aloe Vera | 1.5L","1.5",179.5
"Beverage","Gatorade Citrus Quench No Sugar | 1.5L","1.5",119.5
"Beverage","Fundador Super Special | 1L","1",295
"Beverage","Extra Joss Maxx Mixed Berries | 237ml","237",14.5
"Beverage","Extra Joss Maxx Mixed Fruits | 237ml","237",14.5
"Beverage","Del Monte Pineapple Fiber-Enriched Save 10 | 220ml 6pcs","220",227
"Beverage","Del Monte Pineapple Ace Save 10 | 220ml 6pcs","220",209
"Beverage","Del Monte Heart Smart Pineapple Save 10 | 220ml 6pcs","220",227
"Beverage","Del Monte Four Seasons Save 10 | 220ml 6pcs","220",209
"Beverage","Del Monte Canned Pineapple Juice 2T | 530ml","530",66.5
"Beverage","Coke Zero Can Save P15 | 320ml 6pcs","320",200
"Beverage","Coke Can Save 15 Php | 320ml 6pcs","320",200
"Beverage","Choko Choko Refill | 50pcs","50",76.5
"Beverage","Cafe Puro Glass Regency | 50g","50",73.5
"Beverage","Cafe Puro Ep | 100g","100",92.5
"Beverage","Cafe Barako De Lipa Coffee | 350g","350",299.5
"Beverage","Blend 45 Malunggay Doble Pack | 52g 10pcs","52",124.5
"Beverage","Nescafe Gold Intense | 50g","50",164.5
"Beverage","Pocari Sweat Ion Drink | 900ml","900",84.5
"Beverage","7Up Regular | 2L","2",78.95
"Beverage","Cream All Creamer | 5g 24pcs","5",46.5
"Beverage","Royal Pet Tru Orange | 500ml","500",37.95
"Beverage","Coke Pet Light | 500ml","500",37.95
"Beverage","Coke Zero | 500ml","500",37.5
"Beverage","Coke Pet Regular | 500ml","500",37.5
"Beverage","Coke Zero Sugar Vanilla | 320ml","320",37.5
"Beverage","Absolute Distilled Water | 1L","1",25
"Beverage","Minute Maid Nutri Plus Orange Mango | 330ml","330",26.5
"Beverage","Jele Beautie Drink Grape | 150ml","150",31.5
"Beverage","Jele Beautie Drink Acai Berry | 140ml","140",31.5
"Beverage","Jele Beautie Drink Black Curran | 150ml","150",31.5
"Beverage","Starbucks Double Shot Espresso | 220ml","220",89.5
"Beverage","Starbucks Frappucino Mocha | 280ml","280",109.5
"Beverage","Starbucks Frappucino Coffee | 280ml","280",109.5
"Beverage","Aldi Foods Turmericwt Calamansi | 500g","500",389.5
"Beverage","Turmeric Calamansi Tea | 180g","180",142.5
"Beverage","Minute Maid Nutri + Mango Orange | 240ml","240",27.95
"Beverage","Minute Maid Nutri + Orange | 240ml","240",27.95
"Beverage","Mogu Mogu Jelly Strawberry With Nata | 150g","150",38.95
"Beverage","Mogu Mogu Jelly Lychee With Nata | 150g","150",38.95
"Beverage","C2 Peach | 500ml","500",31.5
"Beverage","C2 Peach Solo | 230ml","230",13.95
"Beverage","C2 Peach | 1L","1",56.5
"Beverage","Kanto Vodka Salted Caramel | 700ml","700",1080
"Beverage","Ube Cream Liqueur | 700ml","700",1620
"Beverage","Agimat Gin | 700ml","700",1950
"Beverage","Nutrifizz Lemon Lime |330ml","330",44.5
"Beverage","Nutrifizz Yogurt Soda |330ml","330",44.5
"Beverage","Kopiko Winter Blend Mallows |40g 10pcs","40",132.5
"Beverage","Kopiko Winter Blend Chocolate Sprinkler |31g 10pcs","31",132.5
"Beverage","SM Bonus Fp Orange Juice | 200ml","200",9
"Beverage","Philbrand Sweet Lemonsito Puree | 1kg","1",204.5
"Beverage","Sola Iced Tea Red Apple | 473ml","473",62.5
"Beverage","Rite N Lite Watermelon + Apple | 250ml","250",29.5
"Beverage","Rite N Lite Strawberry + Kiwi | 250ml","250",29.5
