Category,Name,Net weight,Price
"Chilled","Kraft Cheese Slices 12pcs | 250g","12",229
"Chilled","Dutchmill Proyo Mixed Berries | 400ml","400",49.5
"Chilled","Everchef Culinary Cream | 1L","1",200
"Chilled","Holly's Non Fat Yogurt | 500ml","500",125
"Chilled","Holly's Low Fat Yogurt | 200ml","200",60
"Chilled","Holly's Half And Half | 300ml","300",90
"Chilled","Holly's Low Fat Chocolate Milk | 300ml","300",70
"Chilled","Holly's Low Fat Milk | 300ml","300",70
"Chilled","Holly's Whole Milk | 300ml","300",65
"Chilled","Holly's Low Fat Yogurt | 1L","1",200
"Chilled","Cloud 9 Choco Caramel Milk Drink | 180ml","180",23.5
"Chilled","Jack & Jill Cream O Choco Cookies & Cream | 180ml","180",23.5
"Chilled","Oishi Choco Chug Bottle | 250ml","250",34.5
"Chilled","Vitasoy Plus Milky Oat Milk Drink | 1L","1",129.5
"Chilled","Vitasoy Plus Milky Almond Drink | 1L","1",129.5
"Chilled","Binggrae Ice Cream Melona Melon | 710ml","710",295
"Chilled","Binggrae Ice Cream Melona Strawberry | 710ml","710",295
"Chilled","Nestle Lowfat Save 20 | 1L 2pcs","1",219
"Chilled","Enfagrow A+ Four Save As Much As 720 | 2.75kg","2.75",2549.5
"Chilled","Selecta Sterilized Savers Pack | 1L 2pcs","1",183
"Chilled","Anlene Total | 800g","800",1299.5
"Chilled","Bonakid Pre School | 2.4kg","2.4",1296.5
"Chilled","Anchor Milk Grain Plain | 280g","280",154.5
"Chilled","Anlene Total | 400g","400",764.5
"Chilled","Anchor Milk + Grain Plain | 800g","800",419.5
"Chilled","Anchor Protein Plus Plain | 280g","280",154.5
"Chilled","Anchor Protein Plus Plain | 800g","800",419.5
"Chilled","Natur All Barista Almond Milk | 1L","1",209.5
"Chilled","Natur All Barista Oat Milk | 1L","1",182.5
"Chilled","Natur All Just Oat Milk | 1L","1",164.5
"Chilled","Natur All Just Almond Milk | 1L","1",184.5
"Chilled","Anmum Materna Lite | 26g 10pcs","26",434.5
"Chilled","CDO Danes Herbs And Garlic | 165g","165",57.5
"Chilled","Mr. Milk Yogurt Orange | 80ml 6pcs","80",59.5
"Chilled","Dutchmill UHT Mango | 180ml","180",21.5
"Chilled","Dutchmill UHT Mango | 90ml","90",12.5
"Chilled","Nestle Temptation Ice Cream Cheese | 1.3L","1.3",270
"Chilled","Arla Natural Cheddar Chunk | 200g","200",267
"Chilled","Arla Natural Tex Mex Shredded | 175g","175",263
"Chilled","Arla Natural Pizza Topping Shredded | 175g","175",263
