Category,Name,Net weight,Price
"Bakery","Village Gourmet Focaccia Whole Wheat Raisins Box | 360g","360",212
"Bakery","Village Gourmet Sourdough Baguette | 300g","300",160
"Bakery","Village Gourmet Batard Whole Wheat | 300g","300",147
"Bakery","Signature Select Counting Calories Sweet and Sour | 255g","255",331
"Bakery","Marby Buns Regular Mini Diner Roll | 175g","175",55
"Bakery","Jack & Jill Dewberry Yogurt Cake Strawberry Nyogurt | 25g 10pcs","25",91.5
"Bakery","Jack & Jill Dewberry Yogurt Cake Blueberry Nyogurt | 25g 10pcs","25",91.5
"Bakery","Walter Loaf Healthy Double Fiber Wheat Bread | 350g","350",82
"Bakery","Brownie Break Double Choco | 14.5g 20pcs","14.5",84.5
"Bakery","Brownie Break Nutty Delight | 14.5g 20pcs","14.5",84.5
"Bakery","SM Bonus Cornstarch Sup | 200g","200",21.5
"Bakery","SM Bonus Conrstarch Sup | 400g","400",36.5
"Bakery","SM Bonus All Purpose Flour Sup | 200g","200",26.5
"Bakery","SM Bonus All Purpose Flour Sup | 1kg","1",93.5
"Bakery","SM Bonus All Purpose Flour Sup | 400g","400",43.5
"Bakery","Ajinomoto Pork & Chicken Gyoza | 570g","570",550
"Bakery","Allgroo Kimchi Handmade Gyoza Mandu | 540g","540",259
"Bakery","Allgroo Shrimp Gyoza Mandu | 540g","540",269
"Bakery","Allgroo Kimchi Gyoza Mandu | 540g","540",229
"Bakery","Allgroo Glass Noodle Gyoza Mandu | 540g","540",219
"Bakery","Purefoods Tender Juicy Corndog | 540g","540",240
"Bakery","Marby Ubod Spring Rolls | 300g 14pcs","300",98
"Bakery","Marby Spring Roll Wrapper | 300g","300",55
"Bakery","Marby Siopao Chicken Asado | 850g 10pcs","850",184
"Bakery","Marby Siopao Chicken Asado | 340g 4pcs","340",76
"Bakery","Marby Siopao Beef Asado | 850g 10pcs","850",330
"Bakery","Marby Siopao Asado | 300g 4pcs","300",102
"Bakery","Marby Siopao Asado | 1kg 10pcs","1",260.75
"Bakery","Marby Shrimp Spring Rolls | 280g 14pcs","280",98
"Bakery","Marby Balls Regular Siomai | 170g","170",96
"Bakery","Marby Mini Monay | 245g 10pcs","245",54
"Bakery","Marby Hot & Spicy Siomai | 340g 20pcs","340",175
"Bakery","Marby Hot & Spicy Siomai | 170g 10pcs","170",96
"Bakery","Marby Fish Spring Rolls | 280g 14pcs","280",98
"Bakery","Marby Disney Loaf Bread | 600g","600",83.5
"Bakery","Marby Crab Spring Rolls | 280g 14pcs","280",98
"Bakery","Hotsa Shrimp Lumpia Shanghai | 30pcs","30",170.5
"Bakery","Hotsa Chicken Lumpia Shanghai | 30pcs","30",170.5
"Bakery","Hotsa Beef Lumpia Shanghai | 30pcs","30",179
"Bakery","Fat & Thin Spring Roll Wrapper | 250g","250",100
"Bakery","Fat & Thin Siopao Special Bola Bola | 4pcs","4",110
"Bakery","Fat & Thin Siopao Special Asado | 4pcs","4",110
"Bakery","Fat & Thin Siopao Asado | 10pcs","10",262
"Bakery","Fat & Thin Pork Siomai | 18pcs","18",137
"Bakery","Fat & Thin Japanese Siomai | 18pcs","18",143.75
"Bakery","Fat & Thin Extra Thin Rice Paper | 250g","250",100
"Bakery","Aunty's Panalo Shrimp Siomai | 1kg 60pcs","1",165
"Bakery","Aunty's Panalo Beef Siomai | 1kg 60pcs","1",165
"Bakery","Polar Bear Tapioca Pearl Small | 500g","500",100
"Bakery","Polar Bear Tapioca Pearl Large | 500g","500",106.5
"Bakery","Polar Bear Rice Flour | 500g","500",58.5
"Bakery","Maya Chocolate Crinkle Mix | 400g","400",109.5
"Bakery","Maya Chocolate Hotcake Mix | 200g","200",49.5
"Bakery","Fat & Thin Potato Starch | 500g","500",99.5
"Bakery","Fat & Thin Camote Powder | 500g","500",68.5
"Bakery","Clara Ole Pancake Syrup Cinnamon | 355ml","355",146.5
"Bakery","Magnolia Pancakeplus With Strawberry Syrup | 200g","200",42.5
"Bakery","McCormick Ube Flavor | 475ml","475",944.5
"Bakery","Neubake Choco Bread Roll | 150g","150",36
"Bakery","McCormick Pure Vanilla Extract | 29ml","29",322.5
"Bakery","McCormick Cinnamon Sugar | 63g","63",101.5
