Category,Name,Net weight,Price
"Snacks","Oishi Potato Crisps Cheese | 18g","18",7.95
"Snacks","Oishi Potato Crisps Beef N Chili | 50g","50",19.5
"Snacks","Oishi Potato Crisps Creamy Garlic | 50g","50",19.5
"Snacks","Oishi Potato Crisps Cheese | 50g","50",19.5
"Snacks","Nutri Star Chicken Bbq Flavor | 60g","60",18.5
"Snacks","Okeji Tempura | 100g","100",27.95
"Snacks","Peewee Flavor Snack Pizza Supreme | 95g","95",27.95
"Snacks","Peewee Sizzling BBQ Flavor Snack Supreme | 95g","95",27.95
"Snacks","Peewee Sizzling BBQ Flavor Snack Supreme | 60g","60",18.5
"Snacks","Peewee Pizza Flavor Snack Supreme | 60g","60",18.5
"Snacks","Moby Crunchy Chocolate | 25g","25",7.95
"Snacks","Moby Caramel Puffs | 25g","25",7.95
"Snacks","Moby Crunchy Chocolate | 90g","90",27.95
"Snacks","Moby Caramel Puffs | 90g","90",27.95
"Snacks","Richee Milk | 60g","60",18.5
"Snacks","Cheez It Cheese & Ham | 95g","95",27.95
"Snacks","Cheez It Cheese | 95g","95",27.95
"Snacks","Cheez It Cheese & Ham | 60g","60",18.5
"Snacks","Cheez It Cheese | 60g","60",18.5
"Snacks","Mega Mexicana Taco Shells | 130g","130",78.5
"Snacks","MEGA MEXICANA NACHOS 180G","180",76.5
"Snacks","Martys Baconette Strips Bacon | 90g","90",29.5
"Snacks","Martys Crackling Vegetable Chicharon Plain | 90g","90",23.5
"Snacks","Martys Crackling Vegetable Chicharon Salt Vinegar | 90g","90",23.5
"Snacks","Martys Crackling Vegetable Chicharon Spicy Vinegar | 90g","90",23.5
"Snacks","Leslie Nacho Corn Cheese | 100g","100",28.95
"Snacks","Leslie Nacho Corn BBQ | 100g","100",28.95
"Snacks","Leslie Cheeze Red Hot | 150g","150",61.5
"Snacks","Leslie Cheezy | 150g","150",61.5
"Snacks","Leslie Cheezy O | 60g","60",25
"Snacks","Leslie Cheezy Buffalo Wings | 70g","70",32.5
"Snacks","Leslie Cheeze Red Hot | 70g","70",32.5
"Snacks","Leslie Clover Chips Ham&Cheese | 85g","85",38.95
"Snacks","Leslie Clover Chips Chili & Cheese | 85g","85",38.95
"Snacks","Lays Stax Original | 100g","100",75
"Snacks","Lays Stax Cheese | 100g","100",75
"Snacks","Lays Stax Thailand Sour Cream and Onion | 100g","100",75
"Snacks","Lays Kyushu Seaweed | 50g","50",54.95
"Snacks","Lay's Potato Chips Sour Cream and Onion | 170g","170",169.95
"Snacks","La La Tempura Shrimp Flavoured Snack | 100g","100",34.5
"Snacks","Lala Fish Cracker | 100g","100",34.5
"Snacks","Jack & Jill Chiz Curls | 55g","55",22.5
"Snacks","Jack & Jill Vcut Onion & Garlic | 60g","60",42.5
"Snacks","Jack & Jill Vcut Potato Chips Cheese | 60g","60",42.5
"Snacks","Jack & Jill Potato Chips Classic Sour Cream & Onion | 60g","60",42.5
"Snacks","Jack & Jill Potato Chips Plain Salted Flavor | 60g","60",42.5
"Snacks","Pic A BBQ Overload | 90g","90",38.95
"Snacks","Pic A Sweet Chili Snack Mix | 170g","170",64.5
